"TANGGAL","Stasiun Meteorologi Maritim Tanjung Perak","Stasiun Meteorologi Perak I","Stasiun Meteorologi Juanda"
"01-05-2025",29.7,29.7,28.8
"02-05-2025",29.1,28.7,27.1
"03-05-2025",29.8,29.5,28.4
"04-05-2025",30.3,30,29.6
"05-05-2025",30.4,29.4,28.7
"06-05-2025",30,29.5,29
"07-05-2025",29.8,29.5,28.9
"08-05-2025",28.4,27.5,28.3
"09-05-2025",28,27.3,27.2
"10-05-2025",28.9,28.9,28.1
"11-05-2025",29.6,28.6,28
"12-05-2025",28.1,27.6,28.1
"13-05-2025",27.3,27,27.6
"14-05-2025",28.8,28.9,28.1
"15-05-2025",27.9,27.7,27.8
"16-05-2025",29.6,29.3,28
"17-05-2025",28.6,28,27.3
"18-05-2025",28.5,28.2,27.4
"19-05-2025",28.2,27.9,28.6
"20-05-2025",28.9,28.6,27.8
"21-05-2025",29.5,29,29.1
"22-05-2025",29.5,29.2,29.3
"23-05-2025",27.2,26.9,26.8
"24-05-2025",28.9,28.7,28.8
"25-05-2025",29.8,29.6,28.6
"26-05-2025",27.3,27.4,26.4
"27-05-2025",28.2,27.6,27.2
"28-05-2025",29.2,28.9,29.4
"29-05-2025",30.2,30.1,29.9
"30-05-2025",29.9,29.6,30.2
"31-05-2025",28.9,29.3,30.1
"01-06-2025",28.4,27.9,29
"02-06-2025",29.3,28.7,29.3
"03-06-2025",29.8,29.4,29.8
"04-06-2025",29.8,29.6,28.8
"05-06-2025",30.1,30.1,29.7
"06-06-2025",29.1,28.8,28.6
"07-06-2025",29.4,29,28.6
"08-06-2025",29.7,29.2,28.8
"09-06-2025",26.9,26.9,26.9
"10-06-2025",28.3,28.4,28.1
"11-06-2025",29.7,29.3,28.8
"12-06-2025",28.8,28.7,28.3
"13-06-2025",29,28.5,28.4
"14-06-2025",29.1,28.7,28.5
"15-06-2025",29.7,29.6,29
"16-06-2025",29.2,29.2,28.7
"17-06-2025",29.9,29.8,29.3
"18-06-2025",28.9,28.3,28
"19-06-2025",28.1,27.8,27.5
"20-06-2025",27.8,27.4,26.7
"21-06-2025",28.4,28.3,27.8
"22-06-2025",28,28.1,27.8
"23-06-2025",29.2,29,27.8
"24-06-2025",29,28.6,27.8
"25-06-2025",28.9,28.5,28
"26-06-2025",29,28.8,28.3
"27-06-2025",29.3,29.1,28.5
"28-06-2025",29.5,29.1,28.4
"29-06-2025",28.8,28.7,27.3
"30-06-2025",28.4,28.2,27.3
"01-07-2025",29.1,28.7,28
"02-07-2025",29.1,29,28.2
"03-07-2025",29.2,29.2,28.2
"04-07-2025",29,28.7,28.4
"05-07-2025",27.9,27.4,27.2
"06-07-2025",27.2,26.9,26
"07-07-2025",28,27.7,27.6
"08-07-2025",27.5,27.5,27.1
"09-07-2025",27.4,27,26.5
"10-07-2025",26.7,26.5,25.8
"11-07-2025",27.4,27.1,26.5
"12-07-2025",27,26.8,26.3
"13-07-2025",29.3,29.6,29.3
"14-07-2025",28.8,28.5,27.7
"15-07-2025",28.4,28.2,27.6
"16-07-2025",28.9,28.9,27.9
"17-07-2025",28,28,27
"18-07-2025",27.8,27.6,26.5
"19-07-2025",27.2,27.1,26.1
"20-07-2025",26.8,26.7,25.7
"21-07-2025",27.3,27.2,25.8
"22-07-2025",27.4,27.2,26
"23-07-2025",28.8,28.7,27.2
"24-07-2025",28.7,28.6,27.5
"25-07-2025",29,28.8,28.1
"26-07-2025",29.8,29.7,28.3
"27-07-2025",29.8,29.4,28.2
"28-07-2025",29.6,29.3,28.5
"29-07-2025",29.5,29.5,28.9
"30-07-2025",28.5,28.4,27.6
"31-07-2025",28.2,27.8,27.1
"01-08-2025",28.5,28.2,27.4
"02-08-2025",29,29,28.2
"03-08-2025",29.7,29.6,28.6
"04-08-2025",29.7,29.4,28.5
"05-08-2025",28.8,28.3,27.8
"06-08-2025",28.4,28.3,27.6
"07-08-2025",28.1,28,27
"08-08-2025",29.4,29.4,27.9
"09-08-2025",29.2,28.9,28.1
"10-08-2025",29.7,29.6,28.5
"11-08-2025",29.3,29.5,28.4
"12-08-2025",29.3,29.3,28.1
"13-08-2025",28.3,28.5,27.3
"14-08-2025",27.9,28.1,27.3
"15-08-2025",27.9,28.2,26.7
"16-08-2025",28.5,28.6,27.3
"17-08-2025",28.8,28.6,27.4
"18-08-2025",28.3,28.4,28.3
"19-08-2025",26.5,26.3,27.1
"20-08-2025",27.8,27.7,26.7
"21-08-2025",28.7,28.4,27.3
"22-08-2025",28.5,28.3,27.8
"23-08-2025",29.1,28.9,28.5
"24-08-2025",29.2,28.9,28
"25-08-2025",28.9,28.9,28.2
"26-08-2025",28,27.7,27.5
"27-08-2025",28.9,28.8,28
"28-08-2025",28.3,28.2,28.1
"29-08-2025",28.5,28,27.9
"30-08-2025",28.8,28.5,28
"31-08-2025",29.5,29.4,28.4
"01-09-2025",28.6,28.6,27.9
"02-09-2025",29.9,29.6,29.4
"03-09-2025",29.9,29.6,28.7
"04-09-2025",29.3,29.2,28.5
"05-09-2025",28.6,28.9,27.9
"06-09-2025",29.1,29,28.1
"07-09-2025",28.6,28.6,27.9
"08-09-2025",28.6,28.8,27.8
"09-09-2025",29.4,29.4,29.3
"10-09-2025",29.5,29.6,29.2
"11-09-2025",29,29,28.6
"12-09-2025",29.3,29.3,28.8
"13-09-2025",29.7,29.6,29
"14-09-2025",29.2,29.3,28.5
"15-09-2025",29.4,29.5,28.7
"16-09-2025",29.5,29.4,29
"17-09-2025",29.4,29.2,28.7
"18-09-2025",29.4,29.4,29.3
"19-09-2025",29.8,29.4,30.4
"20-09-2025",29.3,29.5,30.6
"21-09-2025",30.1,30.4,30
"22-09-2025",30,30.1,29.6
"23-09-2025",29.4,29.3,29.2
"24-09-2025",30,29.7,29.3
"25-09-2025",30.3,29.9,29.9
"26-09-2025",30.8,31.2,30.3
"27-09-2025",30.2,30.1,30
"28-09-2025",30.8,31.3,30.9
"29-09-2025",31.1,31.2,31.2
"30-09-2025",28.9,29,29.2
"01-10-2025",27.3,27,27.8
"02-10-2025",29.8,29.7,30
"03-10-2025",30.7,30.1,30.2
"04-10-2025",29.6,29.5,29.7
"05-10-2025",29.7,29.4,30.1
"06-10-2025",30.1,30.4,30.7
"07-10-2025",30.1,30.3,30.4
"08-10-2025",30,29.8,30.1
"09-10-2025",29.8,29.8,29.6
"10-10-2025",29.9,30,29.8
