"TANGGAL","Stasiun Meteorologi Juanda","Stasiun Meteorologi Perak I","Stasiun Meteorologi Maritim Tanjung Perak"
"01-03-2026",28.1,28.4,28.9
"02-03-2026",27.5,27.8,28.4
"03-03-2026",26.3,27.6,28.1
"04-03-2026",27.6,27.8,28.1
"05-03-2026",26.7,28.1,28.3
"06-03-2026",28.2,28.5,28.8
"07-03-2026",28.4,28.7,28.8
"08-03-2026",26.3,27.3,27.6
"09-03-2026",27.5,27.4,28.6
"10-03-2026",28,27.9,28.1
"11-03-2026",29,28.4,28.8
"12-03-2026",27.5,28.5,29.1
"13-03-2026",27.4,27.9,29.1
"14-03-2026",27.7,29.2,29.3
"15-03-2026",26.9,27.5,28.3
"16-03-2026",26.5,27.8,28.5
"17-03-2026",26.9,26.9,27.5
"18-03-2026",28,28,28.3
"19-03-2026",28.4,28,28.9
"20-03-2026",27.9,28.1,28.4
"21-03-2026",27.7,28.4,28.7
"22-03-2026",26.6,27.3,28.2
"23-03-2026",28.3,29.2,29.6
"24-03-2026",28.4,28.4,28.7
"25-03-2026",28.9,28.4,29.2
"26-03-2026",28.3,27.8,28.1
"27-03-2026",28.6,28.5,29
"28-03-2026",28.2,28.3,28.8
"29-03-2026",29.1,28.8,28.7
"30-03-2026",28.4,28.6,28.4
"31-03-2026",28.3,28.5,28.5
"01-04-2026",28.8,29.5,29.5
"02-04-2026",28.8,29.7,29.9
"03-04-2026",28.3,28.7,28.8
"04-04-2026",29.6,29.5,29.3
"05-04-2026",29.1,29.2,29.8
"06-04-2026",29.3,29.6,29.9
"07-04-2026",28.9,29.1,29.2
"08-04-2026",27.6,29.6,30.3
"09-04-2026",28.7,29.4,30.3
"10-04-2026",28.2,28,28.1
"11-04-2026",28.9,29.1,29.1
"12-04-2026",27.9,28.7,28.5
"13-04-2026",28.8,29.4,29.4
"14-04-2026",29.4,29.9,30.2
"15-04-2026",30,30.6,30.5
"16-04-2026",29.3,30.2,30.3
"17-04-2026",28.6,30.4,30.4
"18-04-2026",29.4,30.4,30.3
"19-04-2026",29.2,29.5,29.9
"20-04-2026",28.8,29.5,29.6
"21-04-2026",28.7,29,29.6
"22-04-2026",26.9,27.3,27.4
"23-04-2026",27.9,27.6,27.8
"24-04-2026",30,29.9,29.9
"25-04-2026",30.2,29.8,30
"26-04-2026",29.1,29.9,30
"27-04-2026",28.4,28.2,28.4
"28-04-2026",28.7,28.8,29
"29-04-2026",28.8,29.1,29.2
"30-04-2026",28.1,28.7,29
